Graph Id,Source Function,Node Description,Node Id,Node BCI,head,Valid Control Split
50154,example_ftest72,3|IntegerSwitch,3,1,B0,True
50416,example_ftest71,3|IntegerSwitch,8,6,B1,True
50416,example_ftest71,3|If,7,2,B0,True
50422,example_ftest70,3|IntegerSwitch,8,6,B1,True
50422,example_ftest70,3|If,7,2,B0,True
50436,example_ftest69,3|IntegerSwitch,8,6,B1,True
50436,example_ftest69,3|If,7,2,B0,True
50449,example_ftest68,3|If,48,44,B5,True
50449,example_ftest68,3|IntegerSwitch,24,14,B3,True
50449,example_ftest68,3|If,23,10,B2,True
50459,example_ftest67,3|If,46,40,B4,True
50459,example_ftest67,3|IntegerSwitch,20,9,B2,True
50475,example_ftest66,3|If,15,11,B1,True
50478,example_ftest65,3|If,38,17,B6,True
50478,example_ftest65,3|If,33,13,B4,True
50478,example_ftest65,3|If,26,9,B2,True
50482,example_ftest64,3|If,43,33,B3,True
50482,example_ftest64,3|If,21,56,B8,True
50482,example_ftest64,3|IntegerSwitch,4,1,B0,True
50494,example_ftest63,3|IntegerSwitch,47,62,B11,True
50494,example_ftest63,3|IntegerSwitch,14,10,B2,True
50494,example_ftest63,3|If,7,2,B0,True
50498,example_ftest62,3|IntegerSwitch,54,51,B4,True
50498,example_ftest62,3|IntegerSwitch,20,9,B2,True
50514,example_ftest61,3|IntegerSwitch,50,47,B4,True
50514,example_ftest61,3|IntegerSwitch,20,9,B2,True
50529,example_ftest60,3|IntegerSwitch,44,43,B4,True
50529,example_ftest60,3|IntegerSwitch,20,9,B2,True
50533,example_ftest59,3|IntegerSwitch,44,43,B4,True
50533,example_ftest59,3|IntegerSwitch,20,9,B2,True
50545,example_ftest58,3|IntegerSwitch,33,86,B14,True
50545,example_ftest58,3|IntegerSwitch,20,9,B2,True
50549,example_ftest57,3|If,59,73,B8,True
50549,example_ftest57,3|If,37,106,B14,True
50549,example_ftest57,3|IntegerSwitch,8,6,B1,True
50549,example_ftest57,3|If,7,2,B0,True
50562,example_ftest56,3|If,59,73,B8,True
50562,example_ftest56,3|If,36,106,B14,True
50562,example_ftest56,3|IntegerSwitch,8,6,B1,True
50562,example_ftest56,3|If,7,2,B0,True
50567,example_ftest55,3|If,23,62,B7,True
50567,example_ftest55,3|IntegerSwitch,8,6,B1,True
50567,example_ftest55,3|If,7,2,B0,True
50570,example_ftest54,3|IntegerSwitch,8,6,B1,True
50570,example_ftest54,3|If,7,2,B0,True
50575,example_ftest53,3|IntegerSwitch,8,6,B1,True
50575,example_ftest53,3|If,7,2,B0,True
50581,example_ftest52,3|IntegerSwitch,8,6,B1,True
50581,example_ftest52,3|If,7,2,B0,True
50587,example_ftest51,3|IntegerSwitch,8,6,B1,True
50587,example_ftest51,3|If,7,2,B0,True
50593,example_ftest50,3|IntegerSwitch,8,6,B1,True
50593,example_ftest50,3|If,7,2,B0,True
50601,example_ftest49,3|IntegerSwitch,8,6,B1,True
50601,example_ftest49,3|If,7,2,B0,True
50605,example_ftest48b,3|IntegerSwitch,19,9,B2,True
50605,example_ftest48b,3|If,75,66,B11,True
50610,example_ftest48a,3|IntegerSwitch,19,9,B2,True
50610,example_ftest48a,3|If,67,55,B10,True
50614,example_ftest47,3|If,54,98,B5,True
50614,example_ftest47,3|IntegerSwitch,4,1,B0,True
50616,example_ftest46,3|If,64,76,B7,True
50616,example_ftest46,3|IntegerSwitch,4,1,B0,True
50619,example_ftest45,3|If,61,77,B7,True
50619,example_ftest45,3|IntegerSwitch,4,1,B0,True
50626,example_ftest44,3|IntegerSwitch,15,11,B3,True
50626,example_ftest44,3|If,7,2,B0,True
50629,example_ftest43,3|If,23,10,B2,True
50629,example_ftest43,3|If,84,60,B10,True
50629,example_ftest43,3|IntegerSwitch,44,28,B8,True
50640,example_ftest42,3|IntegerSwitch,27,17,B4,True
50640,example_ftest42,3|If,25,12,B2,True
50647,example_ftest41,3|IntegerSwitch,3,1,B0,True
50650,example_ftest40,3|IntegerSwitch,3,1,B0,True
50653,example_ftest39,3|If,60,68,B13,True
50653,example_ftest39,3|IntegerSwitch,13,12,B2,True
